salary age college grad comten ceoten sales profits mktval profmarg
1161 49 1 1 9 2 6200 966 23200 15.58065
600 43 1 1 10 10 283 48 1100 16.96113
379 51 1 1 9 3 169 40 1100 23.66864
651 55 1 0 22 22 1100 -54 1000 -4.909091
497 44 1 1 8 6 351 28 387 7.977208
1067 64 1 1 7 7 19000 614 3900 3.231579
945 59 1 0 35 10 536 24 623 4.477612
1261 63 1 1 32 8 4800 191 2100 3.979167
503 47 1 1 4 4 610 7 454 1.147541
1094 64 1 1 39 5 2900 230 3900 7.931035
601 54 1 1 26 7 1200 34 533 2.833333
355 66 1 0 39 8 560 8 477 1.428571
1200 72 1 0 37 37 796 35 678 4.396985
697 51 1 0 25 1 8200 234 5700 2.853658
1041 63 1 1 21 11 4300 91 1400 2.116279
245 44 1 1 7 7 135 24 558 17.77778
817 68 1 0 38 4 1300 55 847 4.230769
1675 71 0 0 31 12 674 115 1200 17.06231
971 72 1 1 33 24 1400 69 609 4.928571
609 58 1 0 36 1 1100 69 880 6.272727
470 60 1 1 20 6 2300 210 2200 9.130435
867 59 1 0 36 14 884 81 1500 9.162896
752 54 1 0 32 4 1600 193 3200 12.0625
246 51 1 0 8 8 78 13 458 16.66667
825 56 1 1 4 4 10700 295 5900 2.757009
358 50 1 1 23 4 99 25 2300 25.25253
1162 58 1 0 24 6 3800 226 1800 5.947369
270 43 1 0 15 2 150 28 713 18.66667
829 56 1 0 14 8 2200 184 1500 8.363636
300 77 0 0 45 26 6900 483 4700 7
1627 62 1 1 13 4 8300 596 9100 7.180723
1237 63 1 1 37 9 4600 108 6200 2.347826
540 61 1 1 37 1 5200 549 5600 10.55769
1798 66 1 1 21 14 24300 338 12500 1.390947
474 40 1 0 18 1 2700 117 2000 4.333333
1336 60 1 1 21 13 4500 562 4300 12.48889
541 51 1 0 30 4 1400 82 1200 5.857143
129 66 1 1 4 4 59 28 412 47.45763
1700 54 1 1 21 5 6800 1200 20400 17.64706
1750 66 1 1 31 24 16200 1400 17900 8.641975
624 61 1 1 21 13 1100 109 934 9.909091
791 66 1 0 14 8 2300 -60 487 -2.608696
1487 51 1 0 3 3 22200 182 2800 0.81982
2021 56 1 0 34 3 51300 2700 42900 5.263158
1550 47 1 1 19 3 1100 120 4900 10.90909
401 64 1 0 44 8 571 57 670 9.982487
1295 62 1 0 8 8 10700 1300 16400 12.14953
449 56 1 0 31 1 661 37 538 5.597579
456 56 1 1 9 3 381 34 6700 8.923884
1142 53 1 1 30 1 28000 1900 26300 6.785714
577 64 1 0 26 2 3000 287 5700 9.566667
600 56 1 1 18 7 11700 -40 4000 -0.34188
649 44 1 1 4 4 336 17 475 5.059524
822 60 1 0 22 20 896 77 752 8.59375
1080 52 1 0 18 5 388 55 1600 14.17526
1738 54 0 0 34 12 10700 842 15400 7.869159
581 54 1 0 19 19 408 23 403 5.637255
912 54 1 0 9 9 2600 239 2400 9.192307
650 69 1 0 37 13 261 40 817 15.32567
2199 52 1 1 8 8 5600 475 6300 8.482142
609 53 1 1 15 15 567 34 498 5.996473
1946 73 1 0 25 21 7800 484 8000 6.205128
552 52 1 0 30 1 2800 308 3500 11
481 59 1 1 26 4 611 90 667 14.72995
526 45 1 0 8 7 2400 106 2000 4.416667
471 60 1 0 3 2 160 7 425 4.375
630 56 1 0 29 1 1700 -55 420 -3.235294
622 57 1 0 35 4 2500 143 1200 5.72
999 52 1 0 28 17 159 21 398 13.20755
585 60 1 1 36 10 1700 33 449 1.941176
1107 57 1 0 17 6 2200 149 1100 6.772727
1099 59 1 0 34 10 8600 182 1800 2.116279
425 86 1 1 13 13 36 11 644 30.55556
2792 40 1 0 11 11 534 35 888 6.554307
350 54 1 0 31 4 1000 46 812 4.6
363 58 1 1 36 6 717 80 880 11.1576
2265 63 1 1 35 6 18000 1700 18800 9.444445
377 45 1 0 7 5 238 57 1200 23.94958
879 63 1 1 21 9 1700 212 4900 12.47059
720 49 1 0 12 12 672 23 1400 3.422619
950 63 1 0 27 14 2600 6 1500 0.230769
1143 67 0 0 23 3 1800 56 918 3.111111
1064 58 1 0 27 3 3500 195 2600 5.571429
1253 60 1 1 36 5 2600 142 3700 5.461538
462 58 1 1 23 0 1400 50 769 3.571429
174 69 1 0 13 13 29 6 390 20.68966
474 63 1 0 41 4 2200 175 2600 7.954545
1248 48 1 1 21 7 3500 423 7300 12.08571
1101 62 1 1 32 3 954 96 1200 10.06289
348 43 1 1 12 10 586 79 1400 13.48123
650 55 1 1 28 5 5700 -438 817 -7.68421
875 58 1 1 32 10 5300 308 2200 5.811321
1600 61 1 0 4 1 12300 877 9400 7.130081
1500 55 1 1 30 4 7900 665 4800 8.417722
323 39 1 1 15 3 637 63 517 9.89011
459 59 1 0 33 3 785 40 1400 5.095541
925 56 1 1 26 12 3300 67 2200 2.030303
375 46 1 1 4 4 599 20 501 3.338898
447 53 1 0 4 1 143 16 527 11.18881
1340 55 1 0 13 10 1400 131 2900 9.357142
1749 57 1 1 26 11 8100 40 10000 0.493827
491 43 1 1 21 2 561 54 521 9.625669
5299 64 1 0 42 13 2400 119 1500 4.958333
431 58 1 1 33 3 815 36 550 4.417178
729 50 1 1 15 3 2000 182 2600 9.1
1284 54 1 1 32 3 12300 1300 19600 10.56911
1373 57 1 0 36 8 14300 1600 23600 11.18881
989 40 1 0 18 5 439 30 582 6.833713
515 52 1 1 27 1 1100 51 889 4.636364
1301 50 1 1 19 15 1800 130 1600 7.222222
834 58 1 0 35 1 4400 63 890 1.431818
849 46 1 1 24 24 538 36 473 6.69145
100 61 1 1 26 26 2700 394 10100 14.59259
679 62 1 0 40 6 4900 -463 1400 -9.448979
567 56 1 0 31 10 597 65 1700 10.88777
559 54 1 0 22 2 2100 13 686 0.619048
704 52 1 1 6 6 50 8 903 16
308 45 1 1 14 14 210 39 1900 18.57143
1392 48 1 1 6 6 4800 51 1100 1.0625
389 55 1 0 29 4 478 38 420 7.949791
790 69 1 0 45 37 1200 140 3200 11.66667
